retailer_code,sales_order_date,merge_type,engineered_ship_date,tnt,engineered_delivery_date
COOPER_VISION,2022-09-14,nat-merge,2022-09-14,2,2022-09-16
COOPER_VISION,2022-09-14,n-merge,2022-09-15,2,2022-09-19
COOPER_VISION,2022-09-14,no-merge,None,2,None
COOPER_VISION,2022-09-14,no-merge,None,2,None
COOPER_VISION,2022-09-14,no-merge,None,2,None
COOPER_VISION,2022-09-14,no-merge,None,2,None
COOPER_VISION,2022-09-14,no-merge,None,2,None
COOPER_VISION,2022-09-14,no-merge,None,2,None
COOPER_VISION,2022-09-14,nat-merge,2022-09-14,2,2022-09-16
COOPER_VISION,2022-09-14,n-merge,2022-09-15,2,2022-09-19
COOPER_VISION,2022-09-14,nat-merge,2022-09-14,2,2022-09-16
COOPER_VISION,2022-09-14,n-merge,2022-09-15,2,2022-09-19
COOPER_VISION,2022-09-14,no-merge,None,2,None
COOPER_VISION,2022-09-14,no-merge,None,2,None
COOPER_VISION,2022-09-14,no-merge,None,2,None
COOPER_VISION,2022-09-14,no-merge,None,2,None
COOPER_VISION,2022-09-14,no-merge,None,2,None
COOPER_VISION,2022-09-14,no-merge,None,2,None
COOPER_VISION,2022-09-14,no-merge,None,2,None
COOPER_VISION,2022-09-14,no-merge,None,2,None
COOPER_VISION,2022-09-14,nat-merge,2022-09-14,2,2022-09-16
COOPER_VISION,2022-09-14,nat-merge,2022-09-14,2,2022-09-16
COOPER_VISION,2022-09-14,no-merge,None,2,None
COOPER_VISION,2022-09-14,no-merge,None,2,None
COOPER_VISION,2022-09-14,no-merge,None,2,None
COOPER_VISION,2022-09-14,no-merge,None,2,None
COOPER_VISION,2022-09-14,no-merge,None,2,None
COOPER_VISION,2022-09-14,no-merge,None,2,None
COOPER_VISION,2022-09-14,no-merge,None,2,None
COOPER_VISION,2022-09-14,nat-merge,2022-09-14,2,2022-09-16
COOPER_VISION,2022-09-14,nat-merge,2022-09-14,2,2022-09-16
COOPER_VISION,2022-09-14,nat-merge,2022-09-14,2,2022-09-16
COOPER_VISION,2022-09-14,no-merge,None,2,None
COOPER_VISION,2022-09-14,no-merge,None,2,None
COOPER_VISION,2022-09-14,no-merge,None,2,None
COOPER_VISION,2022-09-14,no-merge,None,2,None
COOPER_VISION,2022-09-14,no-merge,None,2,None
COOPER_VISION,2022-09-14,no-merge,None,2,None
COOPER_VISION,2022-09-14,no-merge,None,2,None
COOPER_VISION,2022-09-14,nat-merge,2022-09-14,2,2022-09-16
COOPER_VISION,2022-09-14,nat-merge,2022-09-14,2,2022-09-16
COOPER_VISION,2022-09-14,n-merge,2022-09-15,2,2022-09-19
COOPER_VISION,2022-09-14,no-merge,None,2,None
COOPER_VISION,2022-09-14,no-merge,None,2,None
COOPER_VISION,2022-09-14,no-merge,None,2,None
COOPER_VISION,2022-09-14,no-merge,None,2,None
COOPER_VISION,2022-09-14,no-merge,None,2,None
COOPER_VISION,2022-09-14,no-merge,None,2,None
COOPER_VISION,2022-09-14,no-merge,None,2,None
COOPER_VISION,2022-09-14,no-merge,None,2,None
COOPER_VISION,2022-09-14,no-merge,None,2,None
